name,description,ref,image,price,provider,category_level1,category_level2,category_level3,in_stock,all_categories
10 Chemises cartonnées couleurs vives 24x32 cm,,https://www.kibo.mg/tananarive/classement-et-archivage/49572-10-chemises-cartonnees-couleurs-vives-24x32-cm.html,https://www.kibo.mg/tananarive/42767-home_default/10-chemises-cartonnees-couleurs-vives-24x32-cm.jpg,12900.0,Kibo,papeterie,classement-et-archivage,__none__,1,
10 tubes de gouache avec pinceau,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/49585-10-tube-de-gouache-avec-pinceau.html,https://www.kibo.mg/tananarive/42809-home_default/10-tube-de-gouache-avec-pinceau.jpg,26900.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
100 Pochettes perforées A4,,https://www.kibo.mg/tananarive/classement-et-archivage/8985-100-pochettes-perforees-a4-3410280043630.html,https://www.kibo.mg/tananarive/11122-home_default/100-pochettes-perforees-a4.jpg,19900.0,Kibo,papeterie,classement-et-archivage,__none__,1,
12 Crayons de couleur 18cm,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/6888-12-crayons-de-couleur-18cm-3701254706126.html,https://www.kibo.mg/tananarive/7052-home_default/12-crayons-de-couleur-18cm.jpg,6400.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 Crayons de couleur effaçables,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/39208-12-crayons-de-couleur-effacables-3250392560867.html,https://www.kibo.mg/tananarive/37056-home_default/12-crayons-de-couleur-effacables.jpg,9500.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 Crayons de couleur Evolution Triangle,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/6786-12-crayons-de-couleur-evolution-triangle-3086124001632.html,https://www.kibo.mg/tananarive/7068-home_default/12-crayons-de-couleur-evolution-triangle.jpg,19600.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 Crayons de couleur Kids Evolution Stripes,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/6785-12-crayons-de-couleur-kids-evolution-stripes-3086123499102.html,https://www.kibo.mg/tananarive/7067-home_default/12-crayons-de-couleur-kids-evolution-stripes.jpg,7300.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 crayons de couleur tita 18cm,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/8263-12-crayons-de-couleur-tita-18cm-8003511427931.html,https://www.kibo.mg/tananarive/8377-home_default/12-crayons-de-couleur-tita-18cm.jpg,4900.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 Crayons de couleur triangulaire 9cm,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/6814-12-crayons-de-couleur-triangulaire-9cm-3154148325000.html,https://www.kibo.mg/tananarive/7092-home_default/12-crayons-de-couleur-triangulaire-9cm.jpg,5800.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 Crayons de couleurs,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/49575-12-crayons-de-couleurs.html,https://www.kibo.mg/tananarive/42815-home_default/12-crayons-de-couleurs.jpg,8400.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 Feutres de coloriage color'peps,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/49621-12-feutres-de-coloriage-color-peps.html,https://www.kibo.mg/tananarive/42791-home_default/12-feutres-de-coloriage-color-peps.jpg,33200.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 Feutres de coloriage pointe moyenne,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/49578-12-feutres-de-coloriage-pointe-moyenne.html,https://www.kibo.mg/tananarive/42812-home_default/12-feutres-de-coloriage-pointe-moyenne.jpg,14900.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
12 Pastilles d'aquarelle avec pinceau,,https://www.kibo.mg/tananarive/fournitures-scolaires-et-bureau/49583-12-pastilles-d-aquarelle-avec-pinceau.html,https://www.kibo.mg/tananarive/42820-home_default/12-pastilles-d-aquarelle-avec-pinceau.jpg,18700.0,Kibo,papeterie,fournitures-scolaires-et-bureau,__none__,1,
